Dataset	Clipped	1																														
Well Number	Reporter	Rn	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30
1	Sample.1		0.233612335	0.106539874	0.080858167	-0.025656513	0.098482451	-0.108165424	0.14083243	-0.110580779	0.330004821	-0.154633031	0.251681678	0.578288818	0.595014281	0.979645083	1.775909542	2.788651427	4.394987817	6.167014687	7.817504462	9.195169757	10.23620816	10.80515996	10.46362611	11.4104895	11.17092205	11.39162936	11.13057595	11.25812518	11.46625669	10.75735816
2	Sample.2		0.297184531	0.030574659	0.322225151	0.140301265	-0.237222622	0.090804131	0.04866059	0.398000547	0.035549249	0.492118671	0.506018855	0.385181563	0.420828156	0.869977166	1.423524637	2.800010618	4.534872211	6.121284582	7.752077542	9.18916072	10.38469447	10.78548234	10.673752	10.88251974	11.31231301	11.31860765	11.33873677	11.29186478	11.16648624	11.4286161
3	Sample.3		-0.260874597	0.133538982	0.259438239	0.184724914	0.196186651	0.259572083	-0.161277761	0.012891763	-0.154993932	0.17676491	0.304533674	0.503028478	0.484100786	1.172439876	1.593853922	3.070618876	4.787350992	6.371891327	8.170410258	9.51958913	10.43073225	10.60300544	10.93222227	11.35881381	11.11310359	10.84839591	11.28946578	11.23246111	11.08513849	11.59574084
4	Sample.4		0.006326634	0.242202514	0.266506913	0.297701233	-0.050624438	-0.177382367	0.354295783	0.355891971	0.226854673	0.203773149	-0.035041012	0.235099115	0.803207384	0.762655891	1.442475713	2.770769663	4.636142511	6.655006077	7.786362406	9.185915138	9.745166005	10.8285292	10.6852258	11.01622171	11.01683411	11.33858475	11.18613174	11.14198709	11.18077728	11.55656885
5	Sample.5		0.28903481	0.160933114	0.043692493	-0.137628866	0.109747397	-0.078854343	0.284011279	-0.061591863	0.132608417	0.404189237	0.231189506	0.124260138	0.40560165	0.847289644	1.743300214	3.092558774	4.419514575	6.446022424	8.164052514	9.154824323	10.14230691	10.52627062	10.56682068	10.92706447	11.14155316	11.37386157	11.47162462	11.08884186	11.09895964	11.39038935
6	Sample.6		0.149091522	-0.302294461	-0.381836079	0.312049914	0.02940139	-0.196703741	-0.350929672	0.520078397	-0.341655009	-0.013222289	0.275805155	-0.032246976	0.472033695	0.888460651	1.713120561	2.856883266	4.428603383	6.197254453	7.8844307	9.053345013	10.01140958	10.77110274	10.8710108	10.5892608	11.36703311	11.11882551	11.36598172	11.13977527	11.29625475	11.45635137
7	Sample.7		0.202796817	0.105338753	0.454582019	0.071102856	0.091834047	0.178147364	0.235647767	0.130206072	0.072508643	0.041049697	0.084146309	0.58202064	0.113180416	0.831272415	1.416234298	2.852281495	4.097971537	6.364857005	7.956256881	9.431461894	9.96812759	11.02259826	10.89367305	11.16830346	10.93788193	10.90206473	11.29031525	11.46127244	11.2206343	11.54294538
8	Sample.8		0.226452158	0.137354786	0.653518922	0.16122115	-0.110524739	0.21668109	-0.063578165	0.154017483	0.033287159	0.080477119	0.040912504	-0.079592515	0.542038776	0.753996811	1.649815091	2.718916581	4.3504404	6.465747642	7.890834414	9.399299521	10.21983664	10.94347808	10.73084886	11.23206676	10.95855889	10.80036812	11.3300818	11.14795141	11.21104251	11.18197087
9	Sample.9		0.217062683	0.065025871	0.275803338	-0.129763276	-0.211511962	-0.107169043	0.292355864	-0.06846394	-0.044037311	0.087642071	-0.139599346	0.542550457	0.411253899	0.606975085	1.427951993	2.532467664	4.203584088	6.352931975	7.981532761	9.29556255	9.999153754	10.4176456	10.83124361	11.41783271	11.20580161	11.67862795	11.37107509	11.27034995	11.11127176	11.25525254
10	Sample.10		0.2431621	-0.229303769	-0.190007224	0.25364298	0.230757714	-0.003394115	0.151338201	-0.084014747	-0.010837137	0.010787776	0.201646386	0.383551827	0.188473252	1.178900399	1.73259332	2.79835677	4.277023707	5.903547478	8.015911414	9.405406616	10.16383818	10.5668592	10.97202797	10.91014656	11.10134535	11.48301575	11.42331911	11.18948826	11.3892916	11.46300763
