Reporter Data																																																																																																
Cycs	Sample.1	Sample.2	Sample.3	Sample.4	Sample.5	Sample.6	Sample.7	Sample.8	Sample.9	Sample.10	Sample.11	Sample.12	Sample.13	Sample.14	Sample.15	Sample.16	Sample.17	Sample.18	Sample.19	Sample.20	Sample.21	Sample.22	Sample.23	Sample.24	Sample.25	Sample.26	Sample.27	Sample.28	Sample.29	Sample.30	Sample.31	Sample.32	Sample.33	Sample.34	Sample.35	Sample.36	Sample.37	Sample.38	Sample.39	Sample.40	Sample.41	Sample.42	Sample.43	Sample.44	Sample.45	Sample.46	Sample.47	Sample.48	Sample.49	Sample.50	Sample.51	Sample.52	Sample.53	Sample.54	Sample.55	Sample.56	Sample.57	Sample.58	Sample.59	Sample.60	Sample.61	Sample.62	Sample.63	Sample.64	Sample.65	Sample.66	Sample.67	Sample.68	Sample.69	Sample.70	Sample.71	Sample.72	Sample.73	Sample.74	Sample.75	Sample.76	Sample.77	Sample.78	Sample.79	Sample.80	Sample.81	Sample.82	Sample.83	Sample.84	Sample.85	Sample.86	Sample.87	Sample.88	Sample.89	Sample.90	Sample.91	Sample.92	Sample.93	Sample.94	Sample.95	Sample.96
1	0.079674649	0.008676857	0.000120732	0.140537344	0.238663718	0.243631015	-0.016508849	0.264913686	0.353020476	0.073439602	-0.270220625	0.031946998	0.22209512	0.346412006	-0.064960283	0.141426214	-0.117301742	-0.103679556	-0.167834931	0.001242809	0.113904918	-0.241541152	-0.393701924	0.015220847	-0.04275654	0.347201907	0.298746187	0.268865084	-0.157471562	0.150924788	-0.014526781	0.24291752	0.209332538	0.11921014	-0.357200092	0.016618413	0.025992509	-0.076222582	0.012322638	0.088826626	0.134268045	0.078747199	-0.162866515	0.096644452	-0.129045542	-0.18327599	-0.190789178	0.119303807	-0.04530403	-0.118620163	-0.273796444	0.068255445	-0.285023179	-0.191386103	0.111829743	-0.241755704	0.32963274	0.091321712	-0.013654928	0.197334711	0.099411552	-0.04935206	-0.451126789	-0.482746807	0.174386873	-0.124678987	0.129386567	0.042387236	0.107769052	-0.108450704	0.044257178	-0.140426873	0.4369675	0.259318412	0.029339467	0.294477586	0.025342934	-0.362761605	-0.406726217	-0.025137398	0.247337875	-0.274783425	-0.024583619	0.525010865	0.093524139	0.247691337	0.430717228	-0.038150267	0.05801306	-0.403246557	-0.171461343	0.017450247	-0.397330531	0.029079412	0.188342401	0.443240814
2	0.040729176	0.221586981	0.307484737	0.041875604	-0.035304932	-0.407322714	0.120946751	-0.190962299	0.111727314	0.066481681	0.208684236	0.023792943	0.050112059	0.245934823	-0.031193731	-0.400800245	0.406080583	-0.164010054	-0.207452423	-0.020501206	-0.006340378	0.041574026	-0.164430372	0.018009695	0.071902171	0.197073801	0.131448848	0.246397631	-0.231269232	0.037881686	0.11950621	-0.098748227	-0.153109061	-0.020197928	-0.035389056	0.105930257	0.25108206	-0.231337251	0.415654129	-0.122006541	0.132108567	0.127062493	0.181155173	-0.33641983	0.118016058	-0.056687872	0.240361519	-0.085560951	-0.019700849	0.125897438	0.072329551	-0.122123298	-0.16465278	-0.008674205	0.291799252	-0.310386889	0.140844819	0.01181894	9.55E-05	0.110732566	0.024766419	0.196517459	-0.421827544	-0.067668246	-0.0356449	0.398221318	0.156702569	0.131235209	-0.183807555	0.220825203	-0.16251046	-0.107489336	0.552674391	0.319097436	0.036910696	-0.099451925	-0.02977994	0.025082338	-0.197333414	-0.006903441	-0.169688121	-0.030870737	0.12803233	0.578716503	-0.010293374	-0.069320754	0.354741764	0.011079612	0.338876745	0.279055085	-0.080655802	0.229657395	-0.128939298	0.375966383	0.256573137	-0.129165664
3	0.378833987	-0.040439415	0.133361602	-0.424701482	0.127365818	-0.083179423	0.073879938	-0.303786098	0.169445889	0.272156556	-0.144825745	-0.03235989	-0.131271881	-0.096468955	0.031287543	-0.046309413	-0.19621766	-0.160881384	0.188676286	0.316901834	0.244725819	-0.010645363	0.367901998	-0.340138315	-0.471171859	-0.164285199	0.30010246	0.091301762	-0.060570949	-0.310729543	-0.013177103	0.27963355	-0.090016952	0.240366443	-0.245135595	0.187132477	-0.06007955	0.001977669	0.155501992	0.176229901	0.19197966	0.223265885	-0.11471593	0.227874738	-0.337933116	0.254255878	0.282702196	0.229375916	-0.104349203	0.173644908	-0.495629401	0.000133507	0.312161341	0.032910919	-0.107548513	-0.015627763	0.049477407	-0.154707025	-0.063322375	0.118571239	0.035617584	-0.079310824	0.127962993	-0.02226727	-0.053709689	0.23320146	-0.458948695	0.301515737	0.249657353	0.18999667	-0.20526438	0.180974096	0.098757827	0.503522385	0.37846557	0.245598735	0.10711911	0.089170261	-0.061077058	-0.310025582	0.080474615	0.245788496	0.412873481	0.072046406	0.358948639	-0.107328559	0.211234423	0.162660493	0.506806671	0.106417558	0.233883955	-0.124222536	0.486727835	-0.109520076	0.002421049	0.256398602
4	0.591719291	0.005377112	-0.129403852	-0.205437835	-0.073636063	0.355851436	0.158574056	0.041406443	-0.390504886	0.123765849	0.066129482	-0.204131582	-0.256011078	0.074265046	-0.325457512	-0.022445977	0.199610085	0.108650257	0.373116097	-0.326970504	-0.018403324	-0.114612822	0.169167864	0.086420002	-0.201923727	-0.057024759	0.078327946	-0.088718467	0.406034139	0.021816106	-0.036888333	0.170875617	0.166224332	-0.025696057	-0.268302672	0.143050847	0.022260627	-0.234995495	0.083754577	0.274920601	0.152442628	0.069515413	0.036653405	-0.253167956	0.103481056	0.183445657	-0.027790687	0.004618078	-0.016197865	0.128126895	0.054275212	-0.000388374	0.002674392	0.027378217	0.135218953	-0.23760632	-0.125698362	-0.095608367	-0.19483068	0.181788244	0.079021374	-0.298514914	-0.109784976	0.149941732	0.138926645	-0.011008831	0.51943885	-0.166907508	-0.051749658	0.076246147	-0.135350375	-0.201693161	0.053990096	0.106759287	-0.053679387	-0.078817957	-0.109381107	0.06025127	0.040822901	0.222924204	-0.251277638	0.083679505	-0.061609835	-0.002633521	-0.114180934	-0.345114377	0.182189887	-0.170599459	0.156213506	-0.070120996	0.361851957	-0.020900112	0.265421636	0.236750234	-0.168875912	0.194229788
5	0.078945155	0.272229567	-0.258471316	0.531934317	0.250177454	0.034639876	0.172483473	0.306117131	0.019949322	0.200404839	0.040659461	0.140974401	0.608644421	-0.395676346	-0.099434602	0.008349506	0.177623747	0.063040422	0.547292158	-0.040638911	-0.094588097	0.067376195	0.181125164	-0.323916281	0.255071453	-0.244509386	0.028117892	-0.335546787	0.09510023	-0.075852414	0.460712153	0.057343216	0.287858452	0.005477405	-0.082610872	-0.102053461	0.054280813	-0.02617695	0.178981119	-0.044049298	0.104762526	0.133920111	0.347837233	-0.14414098	0.26858085	0.221432988	0.219809905	-0.261437268	0.000603174	0.159990491	-5.28E-05	0.297162567	0.105968407	0.153360232	0.32572996	-0.247907628	0.201549031	-0.006612036	-0.027465707	0.118402442	0.029451593	-0.245583353	-0.071518147	-0.023478027	-0.073854928	0.086486517	0.161811587	0.285851814	-0.549851398	0.354490113	-0.186206414	-0.119629429	-0.463823909	-0.219298949	-0.191816127	0.157952087	0.143688668	-0.267211486	0.23990805	0.144637691	0.150314012	-0.032626341	0.156493207	-0.135144226	0.177038197	-0.064377024	0.051960464	-0.327788386	-0.075255581	0.514627249	0.094397849	0.087140106	0.278340218	0.20078497	0.104936517	-0.0005679
6	-0.168195194	0.219832295	-0.144088668	-0.269732025	-0.039813761	0.335606075	0.014818415	0.07553092	-0.187241431	0.144338799	0.041633751	0.328677763	0.112459876	0.11399274	0.020557117	0.211555932	-0.019146497	0.002180935	0.074023466	0.027697351	-0.051296171	0.173574813	0.385060974	0.419562254	0.136783812	0.089180984	0.046562179	0.378032754	0.094129776	-0.054861103	0.37494831	0.15394235	-0.113152957	0.084339664	-0.067336607	0.134342423	-0.314321537	-0.022535088	-0.001633913	0.05584431	0.345194623	0.149775876	0.254115853	0.345769126	-0.016543544	-0.23001801	0.215470278	-0.181064686	0.161758644	0.161408239	-0.228711537	0.172624604	0.101673722	-0.259551254	0.243917427	0.202678303	-0.119047509	-0.126308839	0.080363222	-0.096238073	0.264594816	-0.076805918	-0.098618937	-0.233723952	0.131247719	-0.165504617	-0.128583819	-0.099805034	0.130744046	-0.046803222	0.306287565	0.099213805	0.169886364	0.138679575	-0.069049457	-0.436408084	-0.194751893	0.15224571	0.220288541	0.353795452	-0.048327981	-0.033404996	-0.027118014	0.269982508	0.093272821	0.070715063	-0.200312307	0.122112298	0.402658701	0.354855959	-0.030808596	-0.007543891	-0.270118547	-0.082009524	0.152254265	0.288260792
7	0.359677909	-0.029310943	0.056609818	0.355711114	-0.016212823	-0.225966552	0.194492826	0.039525948	-0.120290617	0.074692081	0.202764596	0.02437705	-0.024265925	0.111732253	0.006089086	-0.10064572	0.011199869	-0.075754823	0.203284814	0.164559301	0.188500768	-0.207175087	0.324135867	-0.095536732	0.304532876	0.118564858	0.159729207	0.074628	-0.289688717	0.1186134	-0.165264977	-0.013637719	-0.095487794	-0.294090827	-0.088584691	0.112635966	0.036124189	-0.050394995	0.428604365	-0.410955032	-0.243377532	0.008438603	0.195442877	0.010128898	-0.282961652	-0.265371181	-0.048385305	-0.095800981	-0.025039075	0.036980776	0.237103343	-0.227481098	0.21887481	-0.339269351	0.108787362	0.137972604	-0.357970954	-0.101303608	-0.187874197	-0.039868898	-0.21988824	-0.172853154	-0.398225521	0.2631912	0.250986471	-0.021955496	0.182325669	-0.033947925	0.03042794	0.257237034	0.066776097	0.238399196	-0.28507543	0.483109639	0.259931924	0.207176887	0.01273819	0.030590072	-0.370329259	-0.139060356	-0.212152373	0.107520746	0.21919068	-0.107878303	0.594772459	0.168424276	-0.05410101	-0.087558617	0.046669573	-0.079531071	0.018990319	0.281854828	-0.122939099	-0.123192946	-0.046434546	0.05717362
8	0.010150332	0.231755971	0.308818547	0.214226636	0.124748457	0.093639946	0.076767054	0.355360784	0.105723321	-0.015884802	0.063229139	0.080233239	0.116783756	-0.094230244	0.107450295	-0.014363809	0.209901225	-0.128615373	0.101686472	0.330990279	0.207643758	0.026735756	0.119434701	0.199811565	-0.005373532	0.138792246	0.541696819	0.254394918	-0.212407384	0.055711577	-0.435939359	0.370773238	0.257984102	0.055243023	-0.032935289	0.427381416	0.021033775	0.065335365	0.265898507	0.211187308	0.003419233	0.108626946	-0.110166088	0.194650656	-0.223760807	-0.113344939	-0.056242139	0.126501716	0.028049035	0.331293434	0.010614605	0.214763279	-0.082557003	-0.154505015	-0.081566899	0.574239741	-0.028092821	-0.08425463	0.035182558	-0.039284599	0.174498327	0.057080384	0.390028087	0.349875765	0.523892476	0.133137671	0.510790103	0.07475307	0.13107534	-0.043459046	-0.128181664	0.187014899	-0.185323546	-0.041388637	0.64866763	-0.347771925	0.099071322	0.070803812	0.047184305	-0.28649478	0.173495993	-0.055240835	-0.457966125	0.010111595	-0.100332664	-0.188755211	-0.032873978	0.03159805	0.178838908	-0.034306481	0.165203617	0.121150805	-0.013192105	-0.060563362	-0.069058154	-0.195026207
9	-0.403289181	0.187824279	-0.057447385	0.322057657	0.078881393	0.068415833	-0.056400791	0.124992687	0.142494658	-0.132829422	0.056753647	0.103786063	-0.30696122	0.353806468	0.050766677	0.460369133	-0.040036185	0.132883485	0.34810811	-0.109427558	-0.222321195	0.305645361	0.055101867	0.078410826	0.39095082	0.002018408	0.156047545	-0.230297502	0.057146559	-0.288260387	0.236427639	0.092545253	0.066727916	-0.334675281	0.091237337	0.331486525	-0.008391036	0.420797206	0.354357291	-0.153099311	0.346930856	0.040590557	-0.211184947	0.039250045	-0.099984552	0.11492802	-0.139775911	0.385629288	0.058864017	0.102996468	0.193057352	-0.237661592	-0.017157269	0.41368257	0.31090042	-0.18143086	-0.405412833	0.060659065	-0.466503947	0.297045935	0.09903876	0.161109289	0.464908118	-0.091936407	-0.296200194	0.062569866	-0.085997964	-0.01020198	0.166036144	0.316411192	0.18815016	-0.149786239	-0.003092464	-0.046368648	0.012625617	-0.008075535	0.188922656	0.161988448	-0.015260859	0.03753307	0.251265589	0.274787539	-0.011406403	-0.073533317	-0.038213673	0.501482777	-0.092679679	0.251131964	0.107091036	-0.278452769	-0.118382187	0.276814156	-0.176150654	0.239588885	-0.229265625	-0.24335584
10	0.516098841	0.249270442	0.251891044	-0.089566176	-0.080690424	0.029113343	0.135422436	0.185596685	-0.043924216	0.137310158	0.079484706	0.065781822	0.272600811	-0.031775934	-0.239529703	0.116660026	0.253489708	0.522341545	-0.01684052	0.034955649	0.058666679	0.052772369	0.126314131	0.041020951	-0.059500162	0.300925797	-0.134930511	-0.067077518	0.130913191	0.236687095	0.041763542	-0.007256324	0.088813533	0.082032657	0.234062477	0.34045434	0.119656364	0.00419052	-0.176063686	-0.146232109	-0.298430649	0.11380213	-0.090389952	-0.051507154	-0.182633014	0.137973039	0.148499045	-0.311305041	0.308552901	-0.045604675	0.082636799	0.213394033	-0.013974523	0.115747197	0.077725855	0.383372959	0.060479083	0.188120301	0.103461084	0.154540607	-0.212545848	-0.20239015	0.197596282	-0.093083854	-0.082314977	-0.02235432	0.047811192	-0.034388016	0.284784989	-0.017661811	-0.178372121	0.201830132	0.323687323	-0.192688148	-0.032403304	0.104671197	0.598219106	-0.11728004	0.139359572	0.077800224	0.296415025	0.178695857	0.021972472	-0.191196884	-0.216530562	0.139207798	0.19316192	0.118010468	0.037401457	0.005892915	-0.156731811	-0.106757761	0.182342481	0.301929274	-0.28425633	-0.171277667
